Transcript Text,Stage
Can you tell me more about your challenges?,Discovery
What issues are you currently facing with your sales process?,Discovery
How are you currently managing lead tracking?,Discovery
We offer a solution that automates this process.,Pitch
Our platform helps reduce manual effort by 60%.,Pitch
We integrate easily with most CRMs and tools.,Pitch
It seems too expensive for our current budget.,Objection
We’re not sure if it integrates with our CRM.,Objection
We need to evaluate more vendors before deciding.,Objection
"Great, we can move forward with the proposal.",Closing
We’re happy to get started next week.,Closing
Let’s schedule a follow-up call for next steps.,Closing
Do you have any technical requirements for integration?,Discovery
Can I walk you through our pricing plans?,Pitch
That doesn’t quite meet our expectations.,Objection
Thanks for your time. Looking forward to working together.,Closing
